[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=275/500 | active_users=3 | updated_users=3 | objective=25.282368 | sum_rate=25.282368 | r_p=26.358810 | r_c=2174.139355 | r_s=0.004616 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=280/500 | active_users=3 | updated_users=3 | objective=25.498558 | sum_rate=25.498558 | r_p=26.280712 | r_c=2202.292234 | r_s=0.004636 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=285/500 | active_users=3 | updated_users=3 | objective=25.706333 | sum_rate=25.706333 | r_p=26.207951 | r_c=2230.594946 | r_s=0.004644 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=290/500 | active_users=3 | updated_users=3 | objective=25.904758 | sum_rate=25.904758 | r_p=26.138084 | r_c=2258.863771 | r_s=0.004656 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=295/500 | active_users=3 | updated_users=3 | objective=26.096355 | sum_rate=26.096355 | r_p=26.070885 | r_c=2287.092440 | r_s=0.004675 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=300/500 | active_users=3 | updated_users=3 | objective=26.280466 | sum_rate=26.280466 | r_p=26.009407 | r_c=2315.571431 | r_s=0.004675 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=305/500 | active_users=3 | updated_users=3 | objective=26.455162 | sum_rate=26.455162 | r_p=25.945322 | r_c=2343.574683 | r_s=0.004685 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=310/500 | active_users=3 | updated_users=3 | objective=26.622841 | sum_rate=26.622841 | r_p=25.880054 | r_c=2371.218965 | r_s=0.004722 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=315/500 | active_users=3 | updated_users=3 | objective=26.782516 | sum_rate=26.782516 | r_p=25.816372 | r_c=2398.758409 | r_s=0.004718 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=320/500 | active_users=3 | updated_users=3 | objective=26.935284 | sum_rate=26.935284 | r_p=25.749638 | r_c=2425.763985 | r_s=0.004726 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=325/500 | active_users=3 | updated_users=3 | objective=27.084398 | sum_rate=27.084398 | r_p=25.687063 | r_c=2452.907903 | r_s=0.004751 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=330/500 | active_users=3 | updated_users=3 | objective=27.225101 | sum_rate=27.225101 | r_p=25.620766 | r_c=2479.448455 | r_s=0.004779 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=335/500 | active_users=3 | updated_users=3 | objective=27.362576 | sum_rate=27.362576 | r_p=25.554239 | r_c=2505.712850 | r_s=0.004794 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=340/500 | active_users=3 | updated_users=3 | objective=27.498074 | sum_rate=27.498074 | r_p=25.485638 | r_c=2531.514347 | r_s=0.004802 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=345/500 | active_users=3 | updated_users=3 | objective=27.627001 | sum_rate=27.627001 | r_p=25.413322 | r_c=2556.678465 | r_s=0.004810 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=350/500 | active_users=3 | updated_users=3 | objective=27.752861 | sum_rate=27.752861 | r_p=25.341541 | r_c=2581.621651 | r_s=0.004830 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=355/500 | active_users=3 | updated_users=3 | objective=27.874825 | sum_rate=27.874825 | r_p=25.264221 | r_c=2605.717509 | r_s=0.004829 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=360/500 | active_users=3 | updated_users=3 | objective=27.996990 | sum_rate=27.996990 | r_p=25.183273 | r_c=2629.139347 | r_s=0.004811 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=365/500 | active_users=3 | updated_users=3 | objective=28.119751 | sum_rate=28.119751 | r_p=25.094513 | r_c=2651.426754 | r_s=0.004852 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=370/500 | active_users=3 | updated_users=3 | objective=28.243219 | sum_rate=28.243219 | r_p=24.994179 | r_c=2672.138695 | r_s=0.004873 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=375/500 | active_users=3 | updated_users=3 | objective=28.366266 | sum_rate=28.366266 | r_p=24.882538 | r_c=2691.243299 | r_s=0.004892 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=380/500 | active_users=3 | updated_users=3 | objective=28.494263 | sum_rate=28.494263 | r_p=24.759872 | r_c=2708.721213 | r_s=0.004898 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=385/500 | active_users=3 | updated_users=3 | objective=28.626915 | sum_rate=28.626915 | r_p=24.627258 | r_c=2724.637122 | r_s=0.004920 | status=running
