Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=39/100 | objective=-12.525630 | rate=13.271418 | r_p=0.681270 | r_c=0.246964 | r_s=9.116548e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=40/100 | objective=-12.521204 | rate=13.271528 | r_p=0.681199 | r_c=0.251579 | r_s=8.227085e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=41/100 | objective=-12.516732 | rate=13.271617 | r_p=0.681147 | r_c=0.256200 | r_s=7.308109e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=42/100 | objective=-12.512151 | rate=13.271645 | r_p=0.681128 | r_c=0.260832 | r_s=6.511350e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=43/100 | objective=-12.507520 | rate=13.271651 | r_p=0.681127 | r_c=0.265470 | r_s=6.160631e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=44/100 | objective=-12.502959 | rate=13.271693 | r_p=0.681101 | r_c=0.270100 | r_s=6.146250e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=45/100 | objective=-12.498475 | rate=13.271776 | r_p=0.681051 | r_c=0.274718 | r_s=6.049350e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=46/100 | objective=-12.494023 | rate=13.271876 | r_p=0.680991 | r_c=0.279331 | r_s=5.947986e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=1 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=1/100 | objective=-8.303863 | rate=8.482566 | r_p=0.361230 | r_c=0.037428 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=2/100 | objective=-10.223424 | rate=10.483593 | r_p=0.443567 | r_c=0.047926 | r_s=0.014642 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=3/100 | objective=-11.252388 | rate=11.563634 | r_p=0.488249 | r_c=0.055138 | r_s=0.012486 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=4/100 | objective=-11.870209 | rate=12.213452 | r_p=0.513550 | r_c=0.060633 | r_s=0.011257 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=5/100 | objective=-12.215337 | rate=12.579002 | r_p=0.528166 | r_c=0.065148 | r_s=0.010110 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=6/100 | objective=-12.356829 | rate=12.729839 | r_p=0.533311 | r_c=0.068627 | r_s=0.009049 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=7/100 | objective=-12.409097 | rate=12.782327 | r_p=0.530110 | r_c=0.071025 | r_s=0.007717 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=8/100 | objective=-12.412623 | rate=12.793202 | r_p=0.534396 | r_c=0.074455 | r_s=0.006957 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=9/100 | objective=-12.444477 | rate=12.828394 | r_p=0.534531 | r_c=0.077331 | r_s=0.006666 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=10/100 | objective=-12.470223 | rate=12.864459 | r_p=0.541421 | r_c=0.081259 | r_s=0.006325 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=11/100 | objective=-12.486083 | rate=12.880604 | r_p=0.538737 | r_c=0.083759 | r_s=0.005770 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=12/100 | objective=-12.489546 | rate=12.886876 | r_p=0.538541 | r_c=0.086629 | r_s=0.005236 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=13/100 | objective=-12.490871 | rate=12.891837 | r_p=0.539171 | r_c=0.089637 | r_s=0.004786 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=14/100 | objective=-12.487227 | rate=12.893784 | r_p=0.541660 | r_c=0.092985 | r_s=0.004388 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=15/100 | objective=-12.491490 | rate=12.895821 | r_p=0.536757 | r_c=0.095024 | r_s=0.004116 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=16/100 | objective=-12.493506 | rate=12.903503 | r_p=0.539297 | r_c=0.098382 | r_s=0.003973 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=17/100 | objective=-12.495123 | rate=12.910932 | r_p=0.541975 | r_c=0.101808 | r_s=0.003752 | status=running
