Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.037467 | initial_avg_latency=0.012489 | initial_min_latency=0.006667 | initial_max_latency=0.017467
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=13/1000 | objective=-12.495941 | rate=12.495941 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.016579 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=14/1000 | objective=-12.497292 | rate=12.497292 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.015034 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=15/1000 | objective=-12.499533 | rate=12.499533 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.015851 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=16/1000 | objective=-12.501015 | rate=12.501015 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.016093 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=17/1000 | objective=-12.501161 | rate=12.501161 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.015052 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=18/1000 | objective=-12.500526 | rate=12.500526 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.013038 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=19/1000 | objective=-12.500177 | rate=12.500177 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.011008 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=20/1000 | objective=-12.500751 | rate=12.500751 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.010196 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=21/1000 | objective=-12.501894 | rate=12.501894 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.010556 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=22/1000 | objective=-12.502796 | rate=12.502796 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.010962 | status=running
