Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=39/100 | objective=-15.212252 | rate=16.284472 | r_p=0.823708 | r_c=0.343704 | r_s=9.921664e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=40/100 | objective=-15.205833 | rate=16.284649 | r_p=0.823599 | r_c=0.350441 | r_s=8.270695e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=41/100 | objective=-15.199193 | rate=16.284720 | r_p=0.823556 | r_c=0.357205 | r_s=7.637269e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=42/100 | objective=-15.192415 | rate=16.284724 | r_p=0.823555 | r_c=0.363987 | r_s=7.672312e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=43/100 | objective=-15.185725 | rate=16.284772 | r_p=0.823528 | r_c=0.370757 | r_s=7.984032e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=44/100 | objective=-15.179187 | rate=16.284885 | r_p=0.823456 | r_c=0.377506 | r_s=8.290158e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=45/100 | objective=-15.172626 | rate=16.284988 | r_p=0.823391 | r_c=0.384256 | r_s=7.725865e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=46/100 | objective=-15.165926 | rate=16.285025 | r_p=0.823368 | r_c=0.391024 | r_s=6.345517e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=47/100 | objective=-15.159130 | rate=16.285014 | r_p=0.823372 | r_c=0.397806 | r_s=5.609057e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=1 | channel_episodes=3 | epochs=100 | batch_size=32
