Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=44/100 | objective=-13.005973 | rate=13.271407 | r_p=0.681237 | r_c=0.270075 | r_s=6.981530e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=45/100 | objective=-13.001505 | rate=13.271546 | r_p=0.681150 | r_c=0.274680 | r_s=7.093190e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=46/100 | objective=-12.997036 | rate=13.271682 | r_p=0.681065 | r_c=0.279284 | r_s=6.272585e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=47/100 | objective=-12.992547 | rate=13.271801 | r_p=0.680991 | r_c=0.283892 | r_s=5.884340e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=1 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=1/100 | objective=-8.446447 | rate=8.482566 | r_p=0.361194 | r_c=0.037424 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=2/100 | objective=-10.442912 | rate=10.488898 | r_p=0.443829 | r_c=0.047956 | r_s=0.014667 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=3/100 | objective=-11.516509 | rate=11.569269 | r_p=0.488294 | r_c=0.055145 | r_s=0.012523 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=4/100 | objective=-12.157434 | rate=12.215686 | r_p=0.515811 | r_c=0.060913 | r_s=0.011277 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=5/100 | objective=-12.518331 | rate=12.580989 | r_p=0.530591 | r_c=0.065473 | r_s=0.010161 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=6/100 | objective=-12.669614 | rate=12.735444 | r_p=0.533481 | r_c=0.068676 | r_s=0.009103 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=7/100 | objective=-12.711021 | rate=12.779922 | r_p=0.535235 | r_c=0.071767 | r_s=0.007756 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=8/100 | objective=-12.719638 | rate=12.791430 | r_p=0.535423 | r_c=0.074659 | r_s=0.007003 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=9/100 | objective=-12.753641 | rate=12.828182 | r_p=0.534581 | r_c=0.077399 | r_s=0.006603 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=10/100 | objective=-12.781467 | rate=12.858769 | r_p=0.533915 | r_c=0.080153 | r_s=0.006176 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=11/100 | objective=-12.791330 | rate=12.872415 | r_p=0.540122 | r_c=0.084002 | r_s=0.005647 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=12/100 | objective=-12.793462 | rate=12.877022 | r_p=0.537278 | r_c=0.086447 | r_s=0.005103 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=13/100 | objective=-12.793714 | rate=12.880417 | r_p=0.538874 | r_c=0.089607 | r_s=0.004629 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=14/100 | objective=-12.795571 | rate=12.885291 | r_p=0.539549 | r_c=0.092631 | r_s=0.004251 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=15/100 | objective=-12.797673 | rate=12.890393 | r_p=0.540071 | r_c=0.095637 | r_s=0.003945 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=16/100 | objective=-12.800666 | rate=12.895717 | r_p=0.536762 | r_c=0.097932 | r_s=0.003734 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=17/100 | objective=-12.804440 | rate=12.902897 | r_p=0.539639 | r_c=0.101369 | r_s=0.003592 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=18/100 | objective=-12.808150 | rate=12.909439 | r_p=0.539216 | r_c=0.104197 | r_s=0.003411 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=19/100 | objective=-12.808631 | rate=12.912460 | r_p=0.537311 | r_c=0.106716 | r_s=0.003156 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=20/100 | objective=-12.805062 | rate=12.911849 | r_p=0.537666 | r_c=0.109678 | r_s=0.002836 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=21/100 | objective=-12.799582 | rate=12.909549 | r_p=0.539085 | r_c=0.112873 | r_s=0.002514 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=22/100 | objective=-12.794978 | rate=12.908046 | r_p=0.540016 | r_c=0.115984 | r_s=0.002283 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=23/100 | objective=-12.792527 | rate=12.908457 | r_p=0.539763 | r_c=0.118843 | r_s=0.002106 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=24/100 | objective=-12.792005 | rate=12.910561 | r_p=0.538459 | r_c=0.121456 | r_s=0.002023 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=25/100 | objective=-12.791445 | rate=12.913341 | r_p=0.540409 | r_c=0.124816 | r_s=0.001954 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=26/100 | objective=-12.791763 | rate=12.916173 | r_p=0.538653 | r_c=0.127312 | r_s=0.001903 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=27/100 | objective=-12.790660 | rate=12.918499 | r_p=0.540885 | r_c=0.130765 | r_s=0.001830 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=28/100 | objective=-12.789108 | rate=12.919694 | r_p=0.540143 | r_c=0.133503 | r_s=0.001709 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=29/100 | objective=-12.786208 | rate=12.919709 | r_p=0.540134 | r_c=0.136418 | r_s=0.001557 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=30/100 | objective=-12.783548 | rate=12.919129 | r_p=0.536820 | r_c=0.138463 | r_s=0.001493 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=31/100 | objective=-12.780246 | rate=12.918767 | r_p=0.537045 | r_c=0.141405 | r_s=0.001387 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=32/100 | objective=-12.776779 | rate=12.919098 | r_p=0.540515 | r_c=0.145240 | r_s=0.001324 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=33/100 | objective=-12.774884 | rate=12.919978 | r_p=0.539969 | r_c=0.148009 | r_s=0.001290 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=34/100 | objective=-12.773125 | rate=12.920966 | r_p=0.539355 | r_c=0.150750 | r_s=0.001228 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=35/100 | objective=-12.770067 | rate=12.921714 | r_p=0.542564 | r_c=0.154591 | r_s=0.001150 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=36/100 | objective=-12.767665 | rate=12.922174 | r_p=0.542276 | r_c=0.157449 | r_s=0.001068 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=37/100 | objective=-12.765028 | rate=12.922431 | r_p=0.542114 | r_c=0.160341 | r_s=9.914222e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=38/100 | objective=-12.762242 | rate=12.922558 | r_p=0.542029 | r_c=0.163254 | r_s=9.215263e-04 | status=running
