Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=6.083171 | rate=15.214190 | power=29.999945 | r_p=4.785810 | r_c=9.845369 | r_s=0.004343 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=6.310261 | rate=15.214437 | power=29.999945 | r_p=4.785563 | r_c=10.073888 | r_s=0.004165 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=6.538301 | rate=15.214560 | power=29.999945 | r_p=4.785440 | r_c=10.302640 | r_s=0.003903 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=6.767031 | rate=15.214594 | power=29.999939 | r_p=4.785406 | r_c=10.531569 | r_s=0.003609 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=6.996008 | rate=15.214597 | power=29.999945 | r_p=4.785403 | r_c=10.760563 | r_s=0.003312 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=7.224925 | rate=15.214607 | power=29.999945 | r_p=4.785393 | r_c=10.989540 | r_s=0.003018 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=7.453600 | rate=15.214647 | power=29.999945 | r_p=4.785353 | r_c=11.218446 | r_s=0.002740 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=7.681909 | rate=15.214731 | power=29.999935 | r_p=4.785269 | r_c=11.447241 | r_s=0.002522 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=7.909689 | rate=15.214878 | power=29.999945 | r_p=4.785122 | r_c=11.675871 | r_s=0.002423 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=8.137384 | rate=15.215033 | power=29.999945 | r_p=4.784967 | r_c=11.904460 | r_s=0.002452 | status=running
