Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=40/100 | objective=-15.940856 | rate=16.284491 | r_p=0.823650 | r_c=0.350419 | r_s=9.294355e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=41/100 | objective=-15.933905 | rate=16.284360 | r_p=0.823734 | r_c=0.357240 | r_s=8.567558e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=42/100 | objective=-15.927080 | rate=16.284328 | r_p=0.823754 | r_c=0.364035 | r_s=7.964337e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=43/100 | objective=-15.920410 | rate=16.284420 | r_p=0.823700 | r_c=0.370796 | r_s=7.565726e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=44/100 | objective=-15.913858 | rate=16.284604 | r_p=0.823588 | r_c=0.377528 | r_s=7.240394e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=45/100 | objective=-15.907305 | rate=16.284783 | r_p=0.823480 | r_c=0.384259 | r_s=6.742601e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=46/100 | objective=-15.900633 | rate=16.284866 | r_p=0.823424 | r_c=0.391014 | r_s=6.099959e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=47/100 | objective=-15.893864 | rate=16.284876 | r_p=0.823420 | r_c=0.397792 | r_s=5.569555e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=1 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=1/100 | objective=-10.371625 | rate=10.415298 | r_p=0.436730 | r_c=0.045580 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=2/100 | objective=-13.027662 | rate=13.084788 | r_p=0.547354 | r_c=0.060122 | r_s=0.014701 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=3/100 | objective=-14.418639 | rate=14.484779 | r_p=0.602144 | r_c=0.069766 | r_s=0.012633 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=4/100 | objective=-15.085288 | rate=15.157973 | r_p=0.627340 | r_c=0.076621 | r_s=0.011149 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=5/100 | objective=-15.400184 | rate=15.478436 | r_p=0.640695 | r_c=0.082357 | r_s=0.009889 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=6/100 | objective=-15.522443 | rate=15.605480 | r_p=0.645985 | r_c=0.087210 | r_s=0.008578 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=7/100 | objective=-15.558631 | rate=15.645919 | r_p=0.646568 | r_c=0.091469 | r_s=0.007561 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=8/100 | objective=-15.586152 | rate=15.677444 | r_p=0.645318 | r_c=0.095456 | r_s=0.006924 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=9/100 | objective=-15.620047 | rate=15.715779 | r_p=0.647185 | r_c=0.099921 | r_s=0.006416 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=10/100 | objective=-15.642123 | rate=15.742846 | r_p=0.652380 | r_c=0.104979 | r_s=0.005953 | status=running
