Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=15/100 | objective=51.019569 | rate=10.996489 | r_p=16.948729 | r_c=65.908962 | r_s=0.003886 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=15/100 | objective=795.101893 | rate=13.179607 | r_p=42.805904 | r_c=850.311984 | r_s=0.003195 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=16/100 | objective=192.894859 | rate=11.368356 | r_p=25.720542 | r_c=210.081124 | r_s=0.002985 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=16/100 | objective=53.437559 | rate=10.998999 | r_p=16.832531 | r_c=68.290442 | r_s=0.003602 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=16/100 | objective=846.222368 | rate=13.179737 | r_p=42.754468 | r_c=894.076633 | r_s=0.002779 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=17/100 | objective=200.332064 | rate=11.369326 | r_p=25.821260 | r_c=217.571146 | r_s=0.002905 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=17/100 | objective=55.578330 | rate=11.000813 | r_p=16.662321 | r_c=70.376219 | r_s=0.003331 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=17/100 | objective=891.288242 | rate=13.179655 | r_p=42.754509 | r_c=941.827228 | r_s=0.002529 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=18/100 | objective=206.217530 | rate=11.370601 | r_p=25.728599 | r_c=223.409991 | r_s=0.002798 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=18/100 | objective=58.348267 | rate=11.002494 | r_p=16.661246 | r_c=73.147653 | r_s=0.003158 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=18/100 | objective=938.723516 | rate=13.180173 | r_p=42.754109 | r_c=987.515559 | r_s=0.002317 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=19/100 | objective=211.948731 | rate=11.371394 | r_p=25.626377 | r_c=229.089472 | r_s=0.002528 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=19/100 | objective=61.122806 | rate=11.002840 | r_p=16.660973 | r_c=75.922334 | r_s=0.002983 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=19/100 | objective=980.354284 | rate=13.180156 | r_p=42.639871 | r_c=1046.315434 | r_s=0.002359 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=20/100 | objective=218.524814 | rate=11.370544 | r_p=25.627291 | r_c=235.665229 | r_s=0.002336 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=20/100 | objective=63.902354 | rate=11.001853 | r_p=16.661512 | r_c=78.700850 | r_s=0.002801 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=20/100 | objective=1047.170684 | rate=13.179725 | r_p=42.742948 | r_c=1120.326897 | r_s=0.002268 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=21/100 | objective=225.084457 | rate=11.371734 | r_p=25.626549 | r_c=242.225597 | r_s=0.002446 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=21/100 | objective=66.678405 | rate=11.001743 | r_p=16.661480 | r_c=81.476747 | r_s=0.002651 | status=running
