Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=13/100 | objective=587.373325 | rate=13.218948 | r_p=42.287207 | r_c=686.293606 | r_s=0.004661 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=14/100 | objective=183.527028 | rate=11.416393 | r_p=25.626034 | r_c=208.374881 | r_s=0.006454 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=14/100 | objective=49.938322 | rate=10.993477 | r_p=17.034354 | r_c=63.833494 | r_s=0.004163 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=14/100 | objective=693.433939 | rate=13.179383 | r_p=42.857189 | r_c=756.024252 | r_s=0.004074 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=15/100 | objective=198.721393 | rate=11.411160 | r_p=25.842362 | r_c=216.978625 | r_s=0.005205 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=15/100 | objective=52.200636 | rate=10.995869 | r_p=16.864369 | r_c=66.040574 | r_s=0.003973 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=15/100 | objective=755.571568 | rate=13.178938 | r_p=42.857700 | r_c=863.253502 | r_s=0.003486 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=16/100 | objective=204.793537 | rate=11.416105 | r_p=25.738349 | r_c=226.221902 | r_s=0.005138 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=16/100 | objective=55.035645 | rate=10.999042 | r_p=16.862866 | r_c=68.878251 | r_s=0.003758 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=16/100 | objective=859.027180 | rate=13.179961 | r_p=42.805559 | r_c=907.101311 | r_s=0.003076 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=17/100 | objective=212.764661 | rate=11.416244 | r_p=25.449220 | r_c=247.244116 | r_s=0.004294 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=17/100 | objective=57.057863 | rate=11.001269 | r_p=16.662329 | r_c=70.835468 | r_s=0.003463 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=17/100 | objective=903.088333 | rate=13.180056 | r_p=42.754146 | r_c=953.760700 | r_s=0.002929 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=18/100 | objective=236.876738 | rate=11.421044 | r_p=25.534082 | r_c=262.158692 | r_s=0.004609 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=18/100 | objective=59.831551 | rate=11.002190 | r_p=16.661922 | r_c=73.609933 | r_s=0.003221 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=18/100 | objective=949.094623 | rate=13.180335 | r_p=42.691044 | r_c=997.917985 | r_s=0.002960 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=19/100 | objective=256.861688 | rate=11.367360 | r_p=26.125330 | r_c=275.054371 | r_s=0.002271 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=19/100 | objective=62.605109 | rate=11.002500 | r_p=16.661395 | r_c=76.383627 | r_s=0.003081 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=19/100 | objective=992.058643 | rate=13.180383 | r_p=42.639595 | r_c=1058.153090 | r_s=0.002658 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=20/100 | objective=263.690293 | rate=11.367595 | r_p=26.125664 | r_c=281.883390 | r_s=0.002057 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=20/100 | objective=65.382457 | rate=11.001740 | r_p=16.661521 | r_c=79.160264 | r_s=0.002894 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=20/100 | objective=1057.603494 | rate=13.179942 | r_p=42.691441 | r_c=1130.788958 | r_s=0.003503 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=21/100 | objective=268.428427 | rate=11.368616 | r_p=25.932297 | r_c=286.521888 | r_s=0.002063 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=21/100 | objective=68.158855 | rate=11.001433 | r_p=16.661525 | r_c=81.936349 | r_s=0.002697 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=21/100 | objective=1125.672730 | rate=13.178691 | r_p=42.692560 | r_c=1170.841737 | r_s=0.003557 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=22/100 | objective=275.143275 | rate=11.370131 | r_p=25.931529 | r_c=293.237842 | r_s=0.002213 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=22/100 | objective=70.932689 | rate=11.001994 | r_p=16.661186 | r_c=84.710635 | r_s=0.002524 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=22/100 | objective=1167.801787 | rate=13.179606 | r_p=42.691792 | r_c=1217.577566 | r_s=0.002991 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=23/100 | objective=280.708071 | rate=11.371444 | r_p=25.829096 | r_c=298.750935 | r_s=0.002119 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=23/100 | objective=73.271950 | rate=11.003718 | r_p=16.575635 | r_c=87.023182 | r_s=0.002395 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=23/100 | objective=1213.559668 | rate=13.179262 | r_p=42.640673 | r_c=1270.541081 | r_s=0.003448 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=24/100 | objective=287.382620 | rate=11.371313 | r_p=25.829354 | r_c=305.425477 | r_s=0.001880 | status=running
